Latitude,Longitude,Feature_ID,Village,N,P,K,OC
14.465,79.585,28_515_shc_2025-26.4361,Chittaluru,289.0,8.4,167.6,0.33
14.468,80.038,28_515_shc_2023-24.5196,Inamadugu,151.0,65.3,478.0,0.22
14.468,80.168,28_515_shc_2024-25.2331,Venkanapalem,251.0,37.6,348.0,0.61
14.472,80.138,28_515_shc_2025-26.8772,Indukurpet Bit - I,63.0,63.0,167.6,0.41
14.475,79.595,28_515_shc_2025-26.4314,Chittaluru,163.0,1.5,130.4,0.13
14.475,80.155,28_515_shc_2025-26.5627,Koduruturu,251.0,47.62,223.5,0.28
14.478,79.618,28_515_shc_2025-26.5473,Vavileru,151.0,13.1,180.0,0.71
14.478,79.618,28_515_shc_2025-26.5238,Vavileru,163.0,3.1,192.4,0.24
14.478,79.618,28_515_shc_2025-26.5491,Vavileru,125.0,4.6,62.1,0.48
14.478,79.618,28_515_shc_2025-26.7067,Vavileru,151.0,11.5,248.3,0.34
14.478,79.632,28_515_shc_2025-26.5416,Vavileru,226.0,7.7,93.1,0.08
14.478,79.638,28_515_shc_2025-26.2124,Vavileru,151.0,5.4,446.9,0.41
14.478,80.052,28_515_shc_2025-26.5592,Lebur Bit - II,163.0,96.0,229.7,0.13
14.478,80.118,28_515_shc_2025-26.2521,Indukurpet Bit - I,151.0,19.2,248.3,0.41
14.478,80.118,28_515_shc_2025-26.5880,Indukurpet Bit - I,138.0,54.53,136.6,0.32
14.478,80.118,28_515_shc_2025-26.5889,Indukurpet Bit - I,63.0,23.0,279.3,0.22
14.478,80.122,28_515_shc_2025-26.5792,Indukurpet Bit - I,163.0,26.1,117.9,0.25
14.482,79.532,28_515_shc_2025-26.4464,Kalayapalem,113.0,22.3,384.9,0.37
14.482,79.898,28_515_shc_2025-26.11138,Jonnawada,75.0,2.3,347.0,0.16
14.482,79.898,28_515_shc_2025-26.11137,Jonnawada,151.0,13.8,360.0,0.32
14.485,80.075,28_515_shc_2025-26.5887,Lebur Bit - II,25.0,22.3,167.6,0.28
14.488,79.882,28_515_shc_2025-26.1864,Jonnawada,289.0,19.2,397.0,0.63
14.492,79.482,28_515_shc_2025-26.8259,Kakivaya,213.0,15.4,335.2,0.25
14.492,79.482,28_515_shc_2025-26.8265,Kakivaya,113.0,19.2,384.9,0.54
14.492,79.542,28_515_shc_2025-26.7179,Kalayapalem,251.0,16.9,496.6,0.49
14.492,79.928,28_515_shc_2025-26.2029,Damaramadugu,138.0,14.6,441.0,0.32
