N,P,K,OC
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
201.0,43.01,316.6,0.34
25.0,6.9,316.6,0.31
125.0,12.9,252.8,0.65
38.0,14.1,245.8,0.46
176.0,97.5,186.2,0.3
176.0,97.5,186.2,0.3
151.0,23.8,142.8,0.19
50.0,119.0,74.5,0.14
63.0,31.5,186.2,0.3
63.0,31.5,186.2,0.3
138.0,98.3,68.3,0.3
75.0,28.4,124.1,0.3
188.0,51.46,124.1,0.22
263.0,46.4,84.3,0.1
138.0,12.9,147.5,1.05
100.0,21.7,42.1,0.87
88.0,8.2,42.1,0.63
25.0,5.3,46.2,0.03
238.0,37.0,70.2,0.53
213.0,20.6,70.2,0.97
188.0,10.6,119.4,0.3
251.0,11.7,70.2,0.43
251.0,11.7,70.2,0.43
238.0,32.3,621.0,0.35
13.0,0.8,49.7,0.2
25.0,5.9,358.2,0.69
13.0,12.9,196.6,0.12
63.0,10.0,126.4,0.35
50.0,126.9,316.0,0.85
50.0,126.9,316.0,0.85
63.0,8.8,323.1,0.39
63.0,8.8,323.1,0.39
50.0,12.9,449.5,0.12
50.0,12.9,449.5,0.12
13.0,11.2,309.0,0.92
38.0,6.5,133.4,0.42
63.0,142.0,351.2,0.69
38.0,10.0,14.0,0.46
13.0,11.7,252.8,0.58
38.0,10.6,280.9,0.46
38.0,10.6,14.0,0.06
75.0,11.2,133.4,0.92
75.0,9.4,154.5,0.4
188.0,12.3,372.2,0.15
25.0,11.2,309.0,0.65
188.0,11.7,105.3,0.28
63.0,10.6,133.4,0.74
25.0,3.5,379.2,0.3
25.0,115.1,196.6,0.12
13.0,11.7,259.9,0.4
50.0,10.6,280.9,0.62
63.0,11.7,77.3,0.63
38.0,13.5,280.9,0.79
63.0,8.2,182.6,0.02
63.0,8.2,182.6,0.02
50.0,12.9,330.1,0.99
38.0,11.7,259.9,0.53
63.0,11.7,175.6,0.12
63.0,12.3,196.6,0.46
63.0,12.3,196.6,0.46
38.0,11.9,224.7,0.83
75.0,12.3,491.6,0.7
63.0,106.9,286.3,0.1
25.0,13.5,287.6,1.24
63.0,12.9,196.6,0.39
13.0,10.0,196.6,1.07
13.0,10.0,196.6,1.07
63.0,12.3,196.6,0.46
63.0,12.3,196.6,0.46
38.0,12.9,161.5,0.35
38.0,2.9,161.5,0.35
100.0,26.9,223.0,0.1
100.0,26.9,223.0,0.1
38.0,29.2,130.0,0.14
138.0,53.76,143.0,0.43
138.0,53.76,143.0,0.43
25.0,49.15,254.0,0.12
25.0,23.8,236.0,0.1
138.0,23.8,317.0,0.12
100.0,10.0,112.0,0.2
63.0,52.3,192.0,0.1
63.0,52.3,192.0,0.1
188.0,13.8,161.0,0.18
188.0,13.8,161.0,0.18
188.0,13.8,161.0,0.18
188.0,13.8,161.0,0.18
25.0,43.78,261.0,0.21
3.0,25.3,174.0,0.24
75.0,67.6,168.0,0.18
75.0,67.6,168.0,0.18
75.0,67.6,168.0,0.18
25.0,22.3,270.0,0.18
151.0,17.7,62.0,0.12
151.0,17.7,62.0,0.12
151.0,17.7,62.0,0.12
151.0,17.7,62.0,0.12
151.0,17.7,62.0,0.12
25.0,23.8,236.0,0.1
25.0,23.8,236.0,0.1
38.0,14.6,137.0,0.15
25.0,22.3,270.0,0.18
38.0,28.4,646.1,0.51
50.0,43.78,561.9,0.31
163.0,6.1,512.7,0.47
50.0,43.78,561.9,0.31
13.0,46.08,192.4,0.3
100.0,22.3,43.0,0.36
88.0,0.8,310.4,0.36
75.0,5.4,93.1,0.05
88.0,11.5,149.0,0.3
63.0,1.5,124.1,0.45
75.0,60.7,25.0,0.34
75.0,60.7,25.0,0.34
75.0,60.7,25.0,0.34
113.0,16.9,12.0,0.25
